omitted,n_participants,n_cells,or_default,ci90_low_default,ci90_high_default,default_warning,default_warning_text,or_bobyqa,bobyqa_warning,bobyqa_warning_text,abs_log_or_difference
leaveout_01,35,372,1.792977770728,0.888396138919939,3.61862140714962,TRUE,"Model failed to converge with max|grad| = 0.0026121 (tol = 0.002, component 1)",1.79356493512182,FALSE,"",0.000327426408784581
leaveout_02,35,375,1.90244637398265,0.946555511760949,3.82365551825531,TRUE,"Model failed to converge with max|grad| = 0.00696645 (tol = 0.002, component 1)",1.90239740101686,FALSE,"",2.57424318528265e-05
leaveout_03,35,370,1.41184210530512,0.729450267461338,2.73260319342885,TRUE,"Model failed to converge with max|grad| = 0.00890754 (tol = 0.002, component 1)",1.41218049447521,FALSE,"",0.000239650470033104
leaveout_04,35,385,1.54894242263064,0.770235753444932,3.11491983836663,TRUE,"Model failed to converge with max|grad| = 0.00357605 (tol = 0.002, component 1)",1.54849548924274,FALSE,"",0.000288582631015943
leaveout_05,35,379,1.577824724492,0.778779168795457,3.1967096206089,FALSE,"",1.57783056516225,FALSE,"",3.70171626329352e-06
leaveout_06,35,376,1.83681583431325,0.883350921832216,3.81942479007764,FALSE,"",1.83700882712115,FALSE,"",0.000105063701106745
leaveout_07,35,374,1.64874445577754,0.780835930501368,3.48134374235537,TRUE,"Model failed to converge with max|grad| = 0.0157745 (tol = 0.002, component 1)",1.6516778558881,FALSE,"",0.00177759123286148
leaveout_08,35,374,1.59735834306967,0.769710580299564,3.31495206312643,TRUE,"Model failed to converge with max|grad| = 0.00468986 (tol = 0.002, component 1)",1.59757216049679,FALSE,"",0.000133847936411913
leaveout_09,35,381,1.73794013233366,0.840374235646281,3.59415576472677,TRUE,"Model failed to converge with max|grad| = 0.00253086 (tol = 0.002, component 1)",1.73779286695374,FALSE,"",8.47391787776042e-05
leaveout_10,35,372,1.51571712867258,0.760083115175973,3.02256209654065,FALSE,"",1.51572038320023,FALSE,"",2.14718439239814e-06
leaveout_11,35,378,1.64346802882565,0.777401110453787,3.4743803751392,TRUE,"Model failed to converge with max|grad| = 0.00381367 (tol = 0.002, component 1)",1.64447202037287,FALSE,"",0.000610711608730996
leaveout_12,35,375,1.90211400386531,0.925432823658553,3.90956273778703,TRUE,"Model failed to converge with max|grad| = 0.00237629 (tol = 0.002, component 1)",1.90246858130696,FALSE,"",0.000186394924931221
leaveout_13,35,380,1.65681121969643,0.795533050043212,3.45054604276071,TRUE,"Model failed to converge with max|grad| = 0.0234096 (tol = 0.002, component 1)",1.65635304674453,FALSE,"",0.000276577264492262
leaveout_14,35,386,1.71403835826066,0.839377641028279,3.50012598618874,TRUE,"Model failed to converge with max|grad| = 0.00896582 (tol = 0.002, component 1)",1.71559353990848,FALSE,"",0.00090690884654232
leaveout_15,35,374,1.73105678215372,0.817695778691946,3.66463623896156,TRUE,"Model failed to converge with max|grad| = 0.0441975 (tol = 0.002, component 1)",1.73399684660036,FALSE,"",0.00169698103821492
leaveout_16,35,373,1.80046522674967,0.886846630576333,3.65528257194604,FALSE,"",1.80026758525837,FALSE,"",0.000109778482222489
leaveout_17,35,377,1.48075524308726,0.736357120159932,2.97768029927407,FALSE,"",1.48060093144818,FALSE,"",0.000104216872359175
leaveout_18,35,374,1.65415549272197,0.783973295460029,3.49020867158065,FALSE,"",1.65365003481319,FALSE,"",0.000305615253679559
leaveout_19,35,374,1.71649370927023,0.813175232314565,3.62326659357049,FALSE,"",1.71638877153518,FALSE,"",6.11368059786344e-05
leaveout_20,35,374,1.60533668801455,0.767080495614733,3.35962900454176,FALSE,"",1.60533834948093,FALSE,"",1.034963901414e-06
