anonymous_id,lead_seconds,display_before_terminal
R01,24.8865220546722,TRUE
R02,49.1989939212799,TRUE
R03,185.60909318924,TRUE
R04,177.648401021957,TRUE
R05,7.88117909431458,TRUE
R06,21.7910680770874,TRUE
R07,65.2834849357605,TRUE
R08,145.121213197708,TRUE
R09,192.133401870728,TRUE
R10,87.0349600315094,TRUE
R11,24.6670100688934,TRUE
R12,15.7135789394379,TRUE
R13,45.9069211483002,TRUE
R14,29.2955169677734,TRUE
R15,9.80421590805054,TRUE
R16,19.4275879859924,TRUE
R17,18.2816941738129,TRUE
R18,32.2458379268646,TRUE
