variant,welch_ci_low,welch_ci_high,welch_crosses_zero,boot_ci_low,boot_ci_high,boot_crosses_zero,conclusion_unchanged
S2_all_cells,-0.0699833240298473,0.223664211044068,TRUE,-0.0597426801593468,0.222475379558713,TRUE,TRUE
S3_excluding_month1,-0.0800659391677539,0.241490933926082,TRUE,-0.0657336490669824,0.233921518296518,TRUE,TRUE
