analysis,shapiro_p_reasoning,shapiro_p_control,variance_ratio_reasoning_over_control,variance_test_p
S2,0.03197864771077,0.181227511777714,0.820470003270555,0.687932952816433
S3,0.0139394989066914,0.00975160011897206,0.584266161588867,0.277768628681598
