analysis,scale,model,estimate,ci_low,ci_high,p_value,standard_error_log,tau,working_alpha,n_participants,n_cells,df,converged,convergence_detail,estimate_rounded,ci_rounded,p_rounded,interval_includes_null
S1a,odds ratio,~condition,1.48399718580016,0.76869230144817,2.86492741414723,0.323615834487838,0.399916293650042,,0.159668783867165,36,387,,TRUE,GEE iterations=6; MD robust covariance,1.48,"[0.77, 2.86]",0.324,TRUE
S1b,odds ratio,~condition + literacy + is_HCI + factor(month) + factor(round),1.4962273417773,0.768493459948856,2.91309734559218,0.31984588124221,0.405063435255883,,0.12258443271102,36,387,,TRUE,GEE iterations=10; MD robust covariance,1.50,"[0.77, 2.91]",0.320,TRUE
S1c,odds ratio,followed ~ condition + (1 | participant_id),1.68485655621807,0.803142106791134,3.53454462295956,0.246797358700505,0.450437673626655,1.06208964427603,,36,387,,TRUE,scaled_grad=1.34403874577e-05 | optimizer_code=0 | singular=FALSE,1.68,"[0.80, 3.53]",0.247,TRUE
S2,proportion difference,equal-variance two-sample t,0.0768404435071102,-0.0699433388455613,0.223624225859782,0.382272443305959,,,,36,387,34,TRUE,not applicable,7.7 pp,"[-7.0, 22.4] pp",0.382,TRUE
S3,proportion difference,equal-variance two-sample t,0.080712497379164,-0.079755921421354,0.241180916179682,0.400996026443847,,,,36,285,34,TRUE,not applicable,8.1 pp,"[-8.0, 24.1] pp",0.401,TRUE
S3b,odds ratio,followed ~ condition + literacy + is_HCI + factor(month) + factor(round) + (1 | participant_id),1.54424983803692,0.710040539636064,3.35855127863455,0.357614412344243,0.472365109259203,0.937898885461351,,36,285,,FALSE,"scaled_grad=0.00200258740771 | optimizer_code=0 | singular=FALSE | Model failed to converge with max|grad| = 0.00525494 (tol = 0.002, component 1)",1.54,"[0.71, 3.36]",0.358,TRUE
